,iso_code,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
699,AFG,2022-01-23,159649.0,101.0,133.143,7393.0,3.0,2.0,4007.714,2.535,3.342,185.589,0.075,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
2109,ALB,2022-01-23,248070.0,1658.0,2204.714,3305.0,8.0,5.143,86347.267,577.11,767.409,1150.392,2.785,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,
2808,DZA,2022-01-23,236670.0,2134.0,1516.143,6495.0,14.0,11.857,5304.525,47.83,33.982,145.574,0.314,0.266,,39.0,0.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,
3501,AND,2022-01-23,33025.0,,,144.0,0.0,0.286,426933.32,,,1861.571,0.0,3.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,,
4176,AGO,2022-01-23,96582.0,680.0,412.571,1888.0,2.0,3.571,2846.205,20.039,12.158,55.638,0.059,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,
4843,AIA,2022-01-23,2187.0,0.0,11.143,7.0,0.0,0.0,144595.041,0.0,736.718,462.81,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15125.0,,,,,,,,,,,,,81.88,,,,,
5525,ATG,2022-01-23,5931.0,,,122.0,0.0,0.286,60074.143,,,1235.718,0.0,2.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,,,,
6279,ARG,2022-01-23,7862536.0,69884.0,109667.286,119168.0,65.0,161.143,172402.02,1532.348,2404.677,2613.0,1.425,3.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,
6973,ARM,2022-01-23,351711.0,814.0,584.857,8028.0,2.0,1.286,118495.9,274.247,197.046,2704.735,0.674,0.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2968128.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,,,,
7655,ABW,2022-01-23,32322.0,102.0,235.0,191.0,4.0,1.0,301525.258,951.537,2192.266,1781.8,37.315,9.329,,,,,,,,,,,,,,,,,,,166004.0,86373.0,79631.0,,301.0,189.0,154.86,80.58,74.29,,1763.0,157.0,0.146,,107195.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,
9117,AUS,2022-01-23,2229104.0,32234.0,63299.571,3148.0,27.0,65.143,86438.857,1249.951,2454.593,122.071,1.047,2.526,,394.0,15.278,5173.0,200.595,,,,,,,,,,,,,,48010195.0,21352957.0,20110855.0,6546383.0,120557.0,282247.0,186.17,82.8,77.98,25.39,10945.0,59214.0,0.23,,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
9816,AUT,2022-01-23,1600041.0,22453.0,22350.286,13991.0,6.0,10.143,176935.559,2482.895,2471.537,1547.151,0.663,1.122,,190.0,21.011,1139.0,125.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,9043072.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,,,,
